id;title;address;coordonnees
194;"Maison de Jean de la Fontaine";"Musée Jean de la Fontaine Place Jean de la Fontaine, 02400 Château-Thierry, France";49.044587,3.403049
195;"Ancien presbytère du Curé d'Ars";"Presbytère du Curé d'Ars 40 Allee Abbe Nodet, 01480 Ars-sur-Formans, France";45.992881,4.82365
196;"Pavillon de l'Arsenal, actuellement bibliothèque de l'Arsenal";"Bibliothèque de l'Arsenal 1 Rue de Sully, 75004 Paris, France";48.85034,2.363621
197;"Château de Denainvilliers";"1 Rue Duhamel du Monceau, 45300 Dadonville, France";48.151076,2.239838
198;"Musée Zervos - Maison Romain Rolland";"14 Rue Saint-etienne, 89450 Vézelay, France";47.463731,3.743124
199;"Domaine de La Chesnaye";"Rue de la Chesnaye, 36150 Guilly, France";47.079827,1.72725
200;"Appartement-atelier Le Corbusier - Immeuble Molitor";"24 Rue Nungesser et Coli, 75016 Paris, France";48.843364,2.251451
201;"Maison Chrestia, dite de ""Francis Jammes""";"7 Avenue Francis Jammes, 64300 Orthez, France";43.4855308,-0.7650723
202;"Maison-Musée Raymond Devos";"10 Rue de Paris, 78470 Saint-Rémy-lès-Chevreuse, France";48.7063155,2.0759727
203;"Maison de Robert Schuman";"4 Rue de l'Esplanade, 57160 Scy-Chazelles, France";49.113623,6.116618
204;"Le Bayle-Vert";"51 Chem. des Areniers, 13450 Grans, France";43.612114,5.06276
205;"Maison de la photographie des Landes";"Impasse le Monge, 40210 Labouheyre, France";44.2164255,-0.9235816
206;"Château d'Espeyran";"60 Ancien Chemin d Uchaud, 30800 Saint-Gilles, France";43.698477,4.412206
207;"Maison-atelier Emile Boggio";"15 Rue du Général de Gaulle, 95430 Auvers-sur-Oise, France";49.074123,2.15876
208;"Maison du Maréchal Jean Lannes";"21 Av. ville de Saint-Louis, 32700 Lectoure, France";43.931528,0.622384
209;"Maison Jules Roy";"2 La Goulote, 89450 Vézelay, France";47.464386,3.717154
210;"Maison et jardin du peintre Ernest Hébert";"Musée Hébert - d'Uckermann Chemin Hebert, 38700 La Tronche, France";45.205515,5.751318
211;"Château de Hautefort";"Jardins et parc du château de Hautefort Rue Marie de Hautefort, 24390 Hautefort, France";45.259902441423,1.1449703053915
212;"Château de Sully-sur-Loire";"Château de Sully Chemin de la Salle Verte, 45600 Sully-sur-Loire, France";47.767651075681,2.3756916764603
213;"Musée Curie";"Musée Curie 1 Rue Pierre et Marie Curie, 75005 Paris, France";48.844315,2.344972
